iter	Logloss
0	0.6878912328
1	0.6820463147
2	0.6760102145
3	0.6701742363
4	0.6647850045
5	0.6589156101
6	0.6531791472
7	0.6479380169
8	0.6426993753
9	0.638256956
10	0.6331964782
11	0.6293148284
12	0.6245653719
13	0.6195799346
14	0.616967352
15	0.6138117175
16	0.6101602177
17	0.606390581
18	0.6015409532
19	0.5973351406
20	0.5928445067
21	0.5890681234
22	0.5853376302
23	0.5816586699
24	0.5786192307
25	0.575219036
26	0.5711673695
27	0.5680362047
28	0.5660231029
29	0.5630246811
30	0.5599860328
31	0.5566185574
32	0.5529251538
33	0.5493915753
34	0.5459626533
35	0.5431224407
36	0.5402500318
37	0.537577499
38	0.5347141263
39	0.5319181138
40	0.5303125046
41	0.5274578061
42	0.5249405365
43	0.5221231683
44	0.5195755662
45	0.5172741949
46	0.5147553297
47	0.5122478407
48	0.5099268602
49	0.5075825694
50	0.5054780829
51	0.5036019114
52	0.5013265013
53	0.4993815859
54	0.4977561106
55	0.4957023282
56	0.4934144777
57	0.4911382102
58	0.4895242553
59	0.4873520441
60	0.4855257054
61	0.4837641647
62	0.4818435693
63	0.4801311383
64	0.4793058247
65	0.4781547337
66	0.4764521518
67	0.4750228382
68	0.4734396379
69	0.4715883526
70	0.4701380909
71	0.4688125451
72	0.4675922069
73	0.466007011
74	0.4645447236
75	0.4628969441
76	0.4617285507
77	0.4607471097
78	0.4599076718
79	0.4592006351
80	0.4584558116
81	0.4575183366
82	0.4565106858
83	0.4552380466
84	0.4539894423
85	0.4529347448
86	0.4515449589
87	0.4506689373
88	0.4497161569
89	0.4485925463
90	0.4474414127
91	0.4464928223
92	0.4456035793
93	0.4445282729
94	0.4432802307
95	0.4425275569
96	0.4418524953
97	0.4407483305
98	0.4394218733
99	0.4382246614
100	0.4371950711
101	0.4368485614
102	0.4358673429
103	0.434957725
104	0.4341149263
105	0.4333335307
106	0.4323993937
107	0.4318962995
108	0.4310776669
109	0.4302950691
110	0.429473454
111	0.4286036301
112	0.4280481914
113	0.4272575087
114	0.4264348356
115	0.4256764913
116	0.4247970113
117	0.42384841
118	0.4232698261
119	0.4228922145
120	0.4221362693
121	0.4214998742
122	0.4208359801
123	0.420506194
124	0.4196749244
125	0.4188158792
126	0.4185997649
127	0.418185738
128	0.4175144752
129	0.4171994768
130	0.4164999155
131	0.4159561258
132	0.4153562744
133	0.4148267954
134	0.414172186
135	0.4137073771
136	0.4130271751
137	0.4128033014
138	0.4124711609
139	0.4119329963
140	0.4111770905
141	0.4106526977
142	0.410058037
143	0.4094596794
144	0.4091776372
145	0.4089773368
146	0.4085073686
147	0.4078753204
148	0.4072562432
149	0.4065826551
150	0.4059556514
151	0.4055546912
152	0.4051643693
153	0.4046249176
154	0.4045091053
155	0.4040483027
